iter	AUC	Logloss
0	0.7322947784	0.6812700075
1	0.7366487973	0.6698187023
2	0.7404009469	0.6585794664
3	0.740580633	0.647655926
4	0.7418091469	0.6370178325
5	0.7421771702	0.6266964696
6	0.7417316664	0.6167112452
7	0.7411785107	0.6070612276
8	0.7410874491	0.5975486682
9	0.7416782386	0.5885222718
10	0.7419000865	0.5795070136
11	0.7424911551	0.5709033898
12	0.7430011505	0.5623467222
13	0.7426384022	0.5541261715
14	0.7430595143	0.5460318431
15	0.7440678218	0.5383998359
16	0.7452898504	0.5307897264
17	0.7465271705	0.5235640499
18	0.7472922129	0.5164874685
19	0.7479313892	0.5095094672
20	0.7483744483	0.5027588402
21	0.7485410115	0.4961811199
22	0.7490493077	0.4899337466
23	0.7495420417	0.4836427429
24	0.7498197932	0.4776202963
25	0.7503286891	0.4718431154
26	0.7506559493	0.4661554219
27	0.7515542939	0.4606778698
28	0.7519199206	0.4552335459
29	0.7522202814	0.450053485
30	0.752645766	0.4448932786
31	0.7531149139	0.440021924
32	0.7534959074	0.4351098426
33	0.7536773138	0.430422302
34	0.7537569863	0.425934804
35	0.7537490129	0.421475313
36	0.7540606862	0.4173181947
37	0.75448808	0.4132424893
38	0.7547667077	0.4091583832
39	0.7552241385	0.4052468383
40	0.7556382589	0.4014422763
41	0.7556468424	0.3977347778
42	0.7560002246	0.3942175231
43	0.7564226291	0.3906010824
44	0.7563403906	0.3871238931
45	0.7566724454	0.3838048271
46	0.7566407883	0.3804686924
47	0.7569438295	0.3773007009
48	0.7571310701	0.3742305929
49	0.7574404903	0.371106526
50	0.7578333981	0.3681745538
51	0.7578592865	0.3652643408
52	0.7582813827	0.3624894237
53	0.758573532	0.3597532531
54	0.7589471991	0.3570219326
55	0.7590530411	0.354488334
56	0.7592481475	0.3520477996
57	0.7593498417	0.3496928187
58	0.7594661594	0.3472761019
59	0.7598188593	0.3449729744
60	0.7600010188	0.3426200367
61	0.7602556474	0.3404770953
62	0.7604560558	0.3382722368
63	0.7607409525	0.3360881974
64	0.7609028174	0.3339247814
65	0.7610885726	0.3319737297
66	0.7612983847	0.3299745991
67	0.7615481883	0.3281049333
68	0.7618994728	0.3262735071
69	0.7621776186	0.3244769417
70	0.7624030186	0.3226799552
71	0.7626008692	0.3209114882
72	0.762620688	0.3191825775
73	0.7628173024	0.3175795167
74	0.762954721	0.3160390593
75	0.7632160956	0.3144850278
76	0.7635207869	0.3128809547
77	0.7635479359	0.3113274336
78	0.7637614192	0.3098074473
79	0.7638817583	0.3084724682
80	0.7639296278	0.3070753349
81	0.764048268	0.3057301192
82	0.7641317858	0.3043931173
83	0.7642837779	0.303170657
84	0.7643472001	0.3018556922
85	0.7645447838	0.3006995422
86	0.7647046385	0.2994993527
87	0.7648373314	0.298362581
88	0.7649929109	0.2971687583
89	0.765116105	0.2960963127
90	0.765323738	0.2950597861
91	0.7653272964	0.2939967389
92	0.7654511864	0.2929357651
93	0.7655649445	0.2918576779
94	0.7656514007	0.2908366564
95	0.7656678629	0.2898433202
96	0.7657345382	0.2889183961
97	0.7660110805	0.2879151643
98	0.7660788032	0.2870506207
99	0.7661643499	0.2861204399
100	0.7662331579	0.2852282928
101	0.7664473957	0.28443221
102	0.766561121	0.2836440653
103	0.7666326227	0.2828222413
104	0.7667052076	0.2820967928
105	0.7667873352	0.281358362
106	0.7670129266	0.280563726
107	0.7672058425	0.2798551774
108	0.7673102694	0.2790914707
109	0.7675756848	0.2783965978
110	0.7676910452	0.2777276565
111	0.7678554126	0.2770377641
112	0.7679455683	0.2763980455
113	0.7681251214	0.2757766048
114	0.7681957137	0.2751079914
115	0.7683473063	0.2744540581
116	0.768472463	0.2737913246
117	0.7685148835	0.2731767713
118	0.7685962237	0.2726290779
119	0.7687122301	0.2720846146
120	0.7688053506	0.27153326
121	0.7688910112	0.2709555555
122	0.7690280961	0.270391802
123	0.7690968246	0.2699230879
124	0.7692182959	0.2694286921
125	0.7692455666	0.2689502348
126	0.7693451572	0.2684649911
127	0.7694521755	0.2680021656
128	0.7695893579	0.2675373904
129	0.7695980698	0.2670623509
130	0.7698231264	0.2665699975
131	0.7699112779	0.2661050953
132	0.770054956	0.265635272
133	0.7702054822	0.2652163006
134	0.7703218916	0.2647938617
135	0.7704722327	0.2643978452
136	0.7705927049	0.2640146713
137	0.7707886306	0.2636234134
138	0.7708234099	0.2632173102
139	0.770958095	0.2628529649
140	0.7710052679	0.2625208426
