iter	AUC	Logloss
259	0.7820395469	0.2426429168
260	0.7821007772	0.2425784031
261	0.7821223245	0.2425285195
262	0.7821625572	0.2424614048
263	0.7821893963	0.2424068051
264	0.7822474487	0.2423438406
265	0.7823171523	0.242287989
266	0.7823626473	0.2422355694
267	0.7824520504	0.2421660889
268	0.7824759564	0.2421166515
269	0.7825411679	0.2420555214
270	0.7825728948	0.2420017506
271	0.7826112285	0.2419563373
272	0.782694121	0.2418927072
273	0.7827925536	0.2418327504
274	0.7828473042	0.2417849506
275	0.7829181192	0.2417267896
276	0.7829760572	0.2416800768
277	0.783048837	0.2416143549
278	0.7831112166	0.2415599567
279	0.7831671154	0.2415074279
280	0.7831952011	0.2414638738
281	0.7832780777	0.2414109851
282	0.7833188578	0.2413598706
283	0.7833943011	0.2412989714
284	0.7834699219	0.2412479536
285	0.7835405161	0.2411891149
286	0.7836032984	0.2411373916
287	0.7836614711	0.2410833981
288	0.7837074881	0.2410309088
289	0.7838086423	0.2409730853
290	0.7838795135	0.2409235611
291	0.78392706	0.2408692608
292	0.7839741537	0.2408182652
293	0.7840308215	0.2407749595
294	0.7840708457	0.2407305794
295	0.7841077375	0.240697434
296	0.7842091252	0.2406387424
297	0.7842468271	0.2405983451
298	0.7843156515	0.2405468024
299	0.7843995415	0.2404988498
300	0.7844603124	0.2404535164
301	0.784503049	0.2404183242
302	0.7845714694	0.240375372
303	0.7846287944	0.2403266877
304	0.7847180734	0.2402787598
305	0.7847784368	0.2402322864
306	0.7848125444	0.2401966048
307	0.7848507243	0.2401526459
308	0.7849243487	0.2401058815
309	0.784997032	0.2400568147
310	0.7850930234	0.2400075221
311	0.7851437785	0.2399699614
312	0.7852200648	0.2399234846
313	0.7852837825	0.2398826609
314	0.7853447722	0.2398430077
315	0.7853973584	0.2398035841
316	0.7854398998	0.2397707636
317	0.7855281735	0.2397279626
318	0.7856042192	0.2396830756
319	0.7856432189	0.2396502747
320	0.7856810266	0.2396176879
321	0.7857258359	0.2395811794
322	0.7858015484	0.2395349049
323	0.7858780603	0.2394984055
324	0.7859124563	0.2394666639
325	0.7859722613	0.2394254103
326	0.7860211995	0.2393901372
327	0.7860683935	0.2393527312
328	0.7861236085	0.2393170336
329	0.7861775698	0.2392776883
330	0.7862208306	0.2392454476
331	0.7862994273	0.2392037637
332	0.7863673998	0.2391647214
333	0.7864485403	0.2391280303
334	0.7864924476	0.2390939436
335	0.7865270466	0.2390636886
336	0.7865664912	0.2390348348
337	0.786599417	0.2390034052
338	0.7866448945	0.2389770318
339	0.7866994461	0.2389450079
340	0.7867920756	0.2388934645
341	0.7868281601	0.2388626389
342	0.7868575543	0.2388294573
343	0.7868953228	0.2388041543
344	0.7869567844	0.2387694545
345	0.7870490376	0.2387259969
346	0.7870976986	0.2386945304
347	0.7871260861	0.2386702205
348	0.7871757775	0.2386376627
349	0.7872413906	0.2386017152
350	0.7873177572	0.2385666463
351	0.7873621441	0.2385383135
352	0.7874080992	0.23850612
353	0.7874668645	0.238473754
354	0.7875417185	0.2384288562
355	0.7875883313	0.2384020579
356	0.7876260089	0.2383747236
357	0.7876450668	0.2383549183
358	0.7876975378	0.2383225493
359	0.7877479847	0.2382885747
360	0.787806119	0.23825895
361	0.7878462531	0.2382319177
362	0.7878932316	0.2381981253
363	0.7879369903	0.238169832
364	0.7879763186	0.2381392246
365	0.7880394451	0.2381125932
366	0.7880947791	0.2380795885
367	0.7881442797	0.238043309
368	0.7881814909	0.238020116
369	0.7882356218	0.2379914689
370	0.7883420242	0.2379516416
371	0.7884296547	0.2379122583
372	0.7885065156	0.2378748741
373	0.788552529	0.2378450717
374	0.7885869047	0.2378209524
375	0.7886405659	0.2377863292
376	0.7887070803	0.237751173
377	0.7887661343	0.2377159542
378	0.7888085201	0.237685377
379	0.7888414365	0.237660932
380	0.7888840191	0.2376357586
381	0.7889385109	0.2376041712
382	0.7889566017	0.2375864212
383	0.789011406	0.2375534724
384	0.789036691	0.2375296341
385	0.7890593634	0.237504807
386	0.7890834879	0.2374873656
387	0.7891284673	0.2374544618
388	0.7891767841	0.237421294
389	0.7892424142	0.2373894499
390	0.7893052013	0.2373553204
391	0.7893925105	0.2373195903
392	0.7894674161	0.2372844639
393	0.7895075655	0.2372576857
394	0.7895904765	0.2372226638
395	0.7896330936	0.2371990553
396	0.7897027463	0.2371664241
397	0.789779047	0.2371271266
398	0.7898320946	0.2370963547
399	0.7898682976	0.2370736426
400	0.7899385211	0.2370425524
401	0.7900091208	0.2370037034
402	0.7900657803	0.2369724525
403	0.7900878174	0.236947556
404	0.7901355259	0.236916976
405	0.7901791655	0.2368912274
406	0.7902297831	0.2368643531
407	0.7902599752	0.236846557
408	0.790295491	0.2368207812
409	0.7903617795	0.2367860416
410	0.7904352884	0.2367482973
411	0.7904968068	0.2367150827
412	0.7905672518	0.2366809039
413	0.7906234565	0.2366514188
414	0.7906846951	0.2366237184
415	0.7907232941	0.2366008348
416	0.7907499086	0.2365778657
417	0.7908012682	0.2365520651
418	0.7908754218	0.2365161676
419	0.7909484614	0.2364848565
420	0.7909911755	0.2364628945
421	0.7910062923	0.2364481003
422	0.7910920666	0.2364119306
423	0.7911584516	0.2363812208
424	0.7912045908	0.236355431
425	0.7912604536	0.2363287057
426	0.7913390126	0.2362979026
427	0.7914117355	0.2362646207
428	0.7914571687	0.2362397271
429	0.7915161652	0.2362102282
430	0.7915783099	0.236180967
431	0.7916129482	0.2361569107
432	0.7916469805	0.2361345133
433	0.7916871841	0.2361109471
434	0.7917321478	0.2360860801
435	0.7917713818	0.2360613391
436	0.7918047793	0.2360374579
437	0.791834632	0.2360177986
438	0.7919129105	0.2359815857
439	0.7919661133	0.2359531135
440	0.7920279384	0.2359226755
441	0.7920847022	0.2358964123
442	0.7921163197	0.2358775933
443	0.792169769	0.2358529804
444	0.7921987018	0.2358338638
445	0.792252936	0.2358054263
446	0.7922897103	0.2357835967
447	0.7923194935	0.2357628072
448	0.792381096	0.2357349946
