iter	Logloss
169	0.2233335437
170	0.2232043377
171	0.2230479016
172	0.2227898391
173	0.2226365188
174	0.2225057108
175	0.2222506648
176	0.2220240624
177	0.2218767689
178	0.221673824
179	0.2215399344
180	0.2214197136
181	0.2213915319
182	0.2213632124
183	0.2212067728
184	0.2210141828
185	0.2209613672
186	0.2207480935
187	0.2206790093
188	0.2206091295
189	0.2204290956
190	0.220221237
191	0.2199755167
192	0.2197763986
193	0.2194681555
194	0.2193606186
195	0.2191882353
196	0.2190401278
197	0.2189727654
198	0.2188899374
199	0.2188576943
200	0.2186056696
201	0.218408046
202	0.2182689168
203	0.2180823349
204	0.2179021062
205	0.2177438586
206	0.2176348459
207	0.2175598424
208	0.2173940454
209	0.2170539557
210	0.2168102208
211	0.2166745789
212	0.2164601181
213	0.2163354783
214	0.2162610024
215	0.2162297353
216	0.2161007271
217	0.2159523903
218	0.215798979
219	0.2156655382
220	0.2154332592
221	0.2153277606
222	0.2151495183
223	0.2150202667
224	0.2148168069
225	0.2146671114
226	0.2145632977
227	0.2144013065
228	0.214289022
229	0.2141381916
230	0.2138708113
231	0.2137037238
232	0.213632209
233	0.2135335171
234	0.2134273371
235	0.2133435219
236	0.2131965513
237	0.2130600361
238	0.2128876808
239	0.2126989515
240	0.2125232716
241	0.212294607
242	0.2122353357
243	0.2121480599
244	0.2120548684
245	0.2118804463
246	0.2117698678
247	0.2115963766
248	0.2113960462
249	0.2113299863
250	0.2111832871
251	0.2108531259
252	0.2107790715
253	0.2106346485
254	0.2104461391
255	0.2102459937
256	0.2100505852
257	0.2098067071
258	0.2095553321
259	0.2094524219
260	0.209312145
261	0.2092360702
262	0.2091546162
263	0.2090427819
264	0.2088769632
265	0.2087313305
266	0.2085999464
267	0.208448059
268	0.2082504597
269	0.2080459514
270	0.2079091052
271	0.2077596601
272	0.2075991603
273	0.2074427921
274	0.2072366716
275	0.2070374355
276	0.2068837463
277	0.2067331875
278	0.2066146038
279	0.2064701458
280	0.2062233272
281	0.2061010183
282	0.2060148021
283	0.2058715586
284	0.2056974863
285	0.2055240562
286	0.2053742103
287	0.2052872053
288	0.2051983984
289	0.2050283427
290	0.2049640135
291	0.2047892525
292	0.2046999133
293	0.2045907093
294	0.2044550451
295	0.2043928794
296	0.204298892
297	0.2042269413
298	0.2041369622
299	0.2039824123
300	0.2038959369
301	0.2037413606
302	0.2036304385
303	0.2034114065
304	0.2032822519
305	0.2031628256
306	0.2030604251
307	0.2029887853
308	0.2029000172
309	0.202823636
310	0.2027291216
311	0.2025363719
312	0.2024638389
313	0.2022282714
314	0.2020775122
315	0.2018627376
316	0.2017653049
317	0.2016785504
318	0.2016104484
319	0.2014786906
320	0.2013507927
321	0.2012477116
322	0.2010566323
323	0.200911325
324	0.2007589839
325	0.2006947285
326	0.2005861514
327	0.2003693783
328	0.2002267014
329	0.2000968071
330	0.1999686948
331	0.1998687613
332	0.1996392623
333	0.1995706411
334	0.1994083832
335	0.1993597591
336	0.199294401
337	0.1991540405
